,country_code,country_name,year,child_employment_rate,log_child_employment_rate,log_gdp_per_capita_ppp,agriculture_value_added_pct,primary_school_enrollment,life_expectancy,urban_population_pct,rural_electricity_access,child_population_pct,youth_unemployment_rate,log_private_consumption_per_capita,governance_index
20,BOL,"Bolivia, Plurinational State of",2021,6.524265886903901,2.018133249318368,9.154319937700045,12.922923305610832,98.8565673828125,61.427,70.475,95.1,30.7897110747146,8.199,7.673620740100477,-0.7282331038564228
21,BOL,"Bolivia, Plurinational State of",2022,6.667265758327878,2.036960066598675,9.178096834380554,12.46872564869134,99.5986480712891,67.434,70.83,95.6,30.4985263912342,6.044,7.695052622455538,-0.6859291578297897
22,BOL,"Bolivia, Plurinational State of",2023,6.821473861976493,2.0568730101968686,9.194715958310155,13.466129302881486,98.9345397949219,68.581,71.186,99.6,30.1423997294384,4.958,7.712577310463167,-0.6387842607471089
23,BOL,"Bolivia, Plurinational State of",2024,6.871913455037182,2.0633011656647695,9.194747111721645,,,,71.545,,29.7865638630777,5.212,,
24,CAF,Central African Republic,2010,18.167882714249515,2.9532361030834293,7.300076839578291,37.36357959594092,79.885383605957,46.871,38.904,,45.9473529408164,9.815,6.230640985285151,-1.2984385268134249
25,CAF,Central African Republic,2019,28.4345917609376,3.3821705732125706,7.044116346303642,28.34183246494384,,31.53,41.77,1.5,49.0201283049631,9.212,6.198408216018399,-2.117323669194441
26,CIV,Côte d'Ivoire,2016,14.944990117248782,2.7691446806593065,8.579575601515794,17.434968407497117,90.1342468261719,58.814,49.881,36.7,42.3479845411618,2.04,7.110995695182061,-0.08805112593830722
27,CIV,Côte d'Ivoire,2022,3.122533609831597,1.4164679281974244,8.744052065578147,16.584333209761567,94.6489410400391,61.562,52.661,45.3,41.6626736856277,4.278,7.225816103144946,0.4898417814206852
28,CMR,Cameroon,2014,26.60778581510021,3.318097827691869,8.431523422066364,16.82583817800948,113.995613098145,59.13,53.976,18.8,43.3606160283733,6.198,6.910943194300493,-0.7851673709458767
29,COD,"Congo, Democratic Republic of",2018,10.562778583021805,2.4477911962150465,7.157332193411248,18.88734318600656,113.982978820801,59.926,44.46,1.0,45.867494578023,8.622,5.841588484345501,-2.2186062021812774
30,COD,"Congo, Democratic Republic of",2020,10.161253991479533,2.412448315468626,7.153546710690853,20.88341888437532,118.195663452148,60.428,45.638,1.0,46.0525923753014,9.617,5.817906637189612,-2.408635500292296
31,COL,Colombia,2012,4.281739690995344,1.6642555303802078,9.634331410449441,5.582687053549325,118.63996887207,75.611,78.701,87.1,26.263594585768,20.086,8.271417342747378,0.7612836675672634
32,COL,Colombia,2013,4.10299703044522,1.6298280201583297,9.67490719411686,5.392714954494723,119.084732055664,75.834,79.061,90.1,25.658665088736,18.729,8.307151747862038,0.7391187650051417
33,COL,Colombia,2014,3.9630921422002934,1.602028962260141,9.709985515298577,5.446957214744208,116.080101013184,75.95,79.415,89.9,25.0633611156397,18.245,8.33982956466965,0.7409286420347015
34,COL,Colombia,2015,3.4123736735685855,1.4844127926300072,9.730465430059414,5.980424808498158,115.497077941895,76.067,79.764,91.8,24.489485993707,17.316,8.36163159626487,0.8076945034837335
35,COL,Colombia,2016,3.145573195938173,1.422041065139564,9.741218260493095,6.606412266057871,115.443153381348,76.228,80.108,92.8,23.9158548197047,18.274,8.367436959203587,0.8086510153145949
36,COL,Colombia,2017,2.961990846394284,1.3767466379239388,9.740205591903196,6.389663552681182,113.305381774902,76.418,80.446,92.7,23.3055636111038,18.467,8.373250919553373,0.6303281570819391
37,COL,Colombia,2018,2.077489606696157,1.124114201880243,9.74713377669048,6.225709689600331,111.699180603027,76.579,80.778,92.6,22.6839423675104,19.45,8.386708704394183,0.6870857609643118
38,COL,Colombia,2019,1.9263624866424234,1.0737601796283505,9.760642730141626,6.410720821683137,109.355506896973,76.793,81.104,97.1,22.1227454885225,20.658,8.408741084878574,0.8430795050842627
39,COL,Colombia,2022,1.0183107757179342,0.7022609119167365,9.823346391261673,8.831544736890406,104.830467224121,76.508,82.05,100.0,20.9532806420881,20.982,8.561153327779467,0.7438914924223706
40,COM,Comoros,2012,13.180525812368124,2.6518696016836336,7.961858182076113,30.173089930475527,,63.463,28.123,63.1,40.4986873367423,9.515,7.04888779678902,-1.1544289715752565
41,COM,Comoros,2022,9.714137701437659,2.3715641498530906,8.154550035371432,35.164324118156784,,66.481,29.864,82.9,37.7186557466662,8.652,7.281881910725179,-1.7334698099653243
42,CRI,Costa Rica,2013,0.5024054357552454,0.40706744751326984,9.91508341390741,4.783350932854634,109.402267456055,80.189,74.97,98.4,23.4234747135744,21.559,8.86576284329072,2.4791858587091116
43,CRI,Costa Rica,2014,0.18287555829797852,0.16794838783006763,9.939140455219762,4.887883789928915,108.512069702148,80.231,75.941,98.3,22.9642578672779,24.23,8.90208674255501,2.541881237962494
44,CRI,Costa Rica,2015,0.30944453822946627,0.2696030306738662,9.96438432993689,4.74911042906871,106.731491088867,80.407,76.862,97.7,22.5297805320568,22.363,8.937153112188591,2.4089314375968933
45,CRI,Costa Rica,2016,0.45420363628938165,0.3744584217735219,9.995455794299879,4.914355786880648,107.027153015137,79.988,77.735,98.5,22.1206092668016,21.65,8.963888159222567,2.3421131556436623
46,CRI,Costa Rica,2017,0.21074894450137469,0.19123913052826286,10.026746830624274,4.699776331482236,106.603530883789,79.994,78.56,98.9,21.7587214952769,20.736,9.008497406694147,2.111057466822843
47,CRI,Costa Rica,2018,0.1453032488207628,0.13566944807232797,10.043523898441517,4.483828337190273,108.677192687988,80.09,79.34,98.9,21.4468038157109,25.071,9.01875508888731,2.280899388963617
48,CRI,Costa Rica,2019,0.08869986493467295,0.08498419984388272,10.059027971696242,4.202051163025725,110.891120910645,80.296,80.076,98.9,21.1293168479945,31.194,9.027143980112193,2.4177381740149726
49,CRI,Costa Rica,2020,0.12002714740109609,0.11335292376422805,10.008426742096828,4.344225560375062,109.79963684082,79.725,80.771,99.7,20.7362762001621,40.108,8.948331155781071,2.3182392658352877
50,CRI,Costa Rica,2021,0.1190807007116031,0.11250754532776128,10.079704065667908,4.366713259341457,108.852310180664,78.05,81.425,100.0,20.2971746471706,39.2,9.02338647223785,2.136430991143983
51,CRI,Costa Rica,2022,0.06595889962393275,0.06387476930048723,10.119917391154267,4.140073620995341,107.611297607422,79.316,82.042,100.0,19.8396344419345,30.718,9.044639437009623,2.025079080232923
